Date_time,country,UFO_shape
10/10/2013 20:35,us,triangle
10/10/2013 21:17,us,triangle
10/10/2013 21:30,us,light
10/11/1973 16:45,us,egg
10/11/1978 23:00,us,circle
10/11/1986 20:30,au,
10/11/1987 21:30,us,light
10/11/1987 23:59,us,fireball
10/11/1989 21:00,us,sphere
10/11/1989 21:00,us,sphere
10/11/1992 10:00,us,sphere
10/11/1994 02:00,us,triangle
10/11/1994 04:00,us,chevron
10/11/1995 18:30,us,
10/11/1995 20:00,us,
10/11/1996 22:00,us,light
10/11/1997 22:00,,sphere
10/11/1998 02:15,us,other
10/11/1998 14:05,us,cigar
10/11/1998 14:30,us,light
10/11/1998 20:30,us,sphere
10/11/1998 22:40,us,sphere
10/11/1998 22:45,us,fireball
10/11/1999 00:15,us,light
10/11/1999 04:30,us,light
10/11/1999 06:10,,unknown
10/11/1999 07:40,us,oval
10/11/1999 09:10,us,light
10/11/1999 18:00,ca,disk
10/11/1999 20:15,us,oval
10/11/1999 20:15,us,oval
10/11/1999 20:15,us,oval
10/11/1999 20:15,us,oval
10/11/1999 20:35,us,other
10/11/1999 21:00,us,cigar
10/11/1999 21:10,us,triangle
10/11/1999 21:30,us,light
10/11/1999 21:30,us,light
10/11/1999 21:45,us,light
10/11/1999 22:15,,disk
10/11/1999 22:30,us,disk
10/11/2000 19:30,gb,diamond
10/11/2000 20:00,us,light
10/11/2000 22:00,us,light
10/11/2000 22:09,gb,changing
10/11/2000 23:30,us,light
10/11/2001 01:00,us,light
10/11/2001 02:15,us,other
10/11/2001 05:15,us,light
10/11/2001 08:15,us,teardrop
10/11/2001 20:35,us,triangle
10/11/2001 23:49,us,teardrop
10/11/2002 06:17,us,fireball
10/11/2002 13:25,us,sphere
10/11/2002 16:15,us,cylinder
10/11/2002 20:36,us,fireball
10/11/2003 00:00,us,
10/11/2003 00:20,us,circle
10/11/2003 01:29,us,egg
10/11/2003 03:00,us,sphere
10/11/2003 07:00,,fireball
10/11/2003 11:32,us,circle
10/11/2003 13:00,,cigar
10/11/2003 19:05,us,light
10/11/2003 20:00,us,unknown
10/11/2003 20:30,us,disk
10/11/2003 22:40,us,chevron
10/11/2004 01:00,us,triangle
10/11/2004 02:37,us,rectangle
10/11/2004 03:40,us,light
10/11/2004 04:15,us,other
10/11/2004 05:00,us,light
10/11/2004 10:00,,light
10/11/2004 11:00,us,formation
10/11/2004 14:00,us,circle
10/11/2004 18:00,us,rectangle
10/11/2004 19:00,,light
10/11/2004 22:29,us,fireball
10/11/2004 23:00,us,formation
10/11/2004 23:15,us,light
10/11/2005 00:00,gb,formation
10/11/2005 00:00,us,light
10/11/2005 03:00,us,circle
10/11/2005 03:20,,circle
10/11/2005 16:00,,formation
10/11/2005 16:36,us,light
10/11/2005 18:33,,light
10/11/2005 18:45,us,light
10/11/2005 19:00,us,formation
10/11/2005 19:00,us,light
10/11/2005 19:30,us,triangle
10/11/2005 19:45,us,light
10/11/2005 21:00,us,oval
10/11/2005 21:00,us,light
10/11/2005 21:50,gb,oval
10/11/2006 01:25,us,disk
10/11/2006 02:00,,circle
10/11/2006 05:40,,disk
10/11/2006 09:00,,oval
10/11/2006 11:29,us,unknown
10/11/2006 19:00,us,fireball
10/11/2006 19:30,us,light
10/11/2006 20:45,us,diamond
10/11/2006 21:00,us,light
10/11/2006 21:20,gb,formation
10/11/2006 21:32,us,circle
10/11/2006 22:00,us,light
10/11/2006 23:00,us,triangle
10/11/2006 24:00,us,oval
10/11/2007 04:40,us,oval
10/11/2007 10:10,us,cylinder
10/11/2007 16:00,us,circle
10/11/2007 19:28,,unknown
10/11/2007 19:50,us,triangle
10/11/2007 20:15,us,light
10/11/2007 20:30,us,disk
10/11/2007 23:00,gb,unknown
10/11/2008 00:00,,chevron
10/11/2008 04:30,us,disk
10/11/2008 06:00,us,light
10/11/2008 13:00,us,sphere
10/11/2008 17:30,,cylinder
10/11/2008 19:00,us,circle
10/11/2008 19:00,us,sphere
10/11/2008 19:00,us,light
10/11/2008 19:30,us,triangle
10/11/2008 20:30,us,light
10/11/2008 20:30,,changing
10/11/2008 22:20,us,fireball
10/11/2008 22:30,us,triangle
10/11/2009 00:00,,unknown
10/11/2009 02:45,us,other
10/11/2009 04:00,us,light
10/11/2009 04:45,ca,flash
10/11/2009 09:45,us,triangle
10/11/2009 12:30,us,egg
10/11/2009 18:00,us,disk
10/11/2009 18:05,us,oval
10/11/2009 19:00,us,circle
10/11/2009 19:50,us,flash
10/11/2009 21:55,us,light
10/11/2010 00:30,us,other
10/11/2010 04:00,,rectangle
10/11/2010 04:50,us,oval
10/11/2010 06:20,us,sphere
10/11/2010 12:30,us,changing
10/11/2010 19:40,us,light
10/11/2010 20:50,us,circle
10/11/2010 20:53,us,triangle
10/11/2010 21:35,us,other
10/11/2010 23:20,,fireball
10/11/2011 03:15,us,chevron
10/11/2011 08:40,us,other
10/11/2011 15:00,us,light
10/11/2011 19:40,us,light
10/11/2011 19:42,us,circle
10/11/2011 21:00,us,
10/11/2011 21:10,us,circle
10/11/2011 23:23,us,unknown
10/11/2012 01:00,us,unknown
10/11/2012 02:45,us,sphere
10/11/2012 04:00,us,light
10/11/2012 07:00,,disk
10/11/2012 08:00,us,cigar
10/11/2012 19:30,us,light
10/11/2012 19:30,us,fireball
10/11/2012 19:45,us,circle
10/11/2012 20:00,us,diamond
10/11/2012 20:30,us,fireball
10/11/2012 20:42,us,triangle
10/11/2012 21:00,us,diamond
10/11/2012 21:01,us,sphere
10/11/2012 22:15,us,circle
10/11/2013 01:00,us,chevron
10/11/2013 03:00,ca,cylinder
10/11/2013 06:13,us,circle
10/11/2013 09:05,us,light
10/11/2013 16:01,ca,circle
10/11/2013 16:35,us,fireball
10/11/2013 19:00,us,unknown
10/11/2013 19:20,,fireball
10/11/2013 19:50,us,light
10/11/2013 20:00,us,circle
10/11/2013 20:00,us,fireball
10/11/2013 20:00,us,light
10/11/2013 20:15,,light
10/11/2013 20:15,us,fireball
10/11/2013 20:15,us,fireball
10/11/2013 20:20,us,fireball
10/11/2013 20:45,us,light
10/11/2013 21:00,us,sphere
10/11/2013 21:00,us,chevron
10/11/2013 22:00,us,light
10/11/2013 22:00,us,sphere
10/11/2013 22:08,us,sphere
10/11/2013 22:10,us,formation
10/11/2013 22:18,ca,light
10/11/2013 23:00,us,fireball
10/11/2013 23:15,us,fireball
10/1/1950 11:00,us,disk
10/1/1952 03:30,,disk
10/1/1952 12:00,us,disk
10/1/1954 19:00,us,circle
10/1/1955 22:00,,circle
10/1/1956 19:00,us,rectangle
10/1/1957 16:00,us,unknown
10/1/1957 21:00,us,disk
10/1/1957 22:00,,
10/1/1959 19:00,us,unknown
10/1/1961 03:00,us,sphere
10/1/1961 03:30,us,disk
10/1/1961 19:00,us,disk
10/1/1961 22:00,us,triangle
10/1/1965 06:40,us,other
10/1/1965 14:00,us,sphere
10/1/1965 21:00,us,disk
10/1/1966 19:00,ca,diamond
10/1/1966 20:00,us,light
10/1/1966 22:00,us,light
10/1/1966 22:30,us,unknown
10/1/1966 23:00,us,disk
10/1/1967 02:00,us,sphere
10/1/1967 13:00,us,circle
10/1/1967 19:00,,sphere
10/1/1967 20:00,us,disk
10/1/1968 00:00,us,cigar
10/1/1968 20:00,us,circle
10/1/1969 16:00,us,oval
10/1/1970 00:00,,light
10/1/1970 01:00,ca,sphere
10/1/1970 16:00,us,disk
10/1/1970 17:30,us,other
10/1/1970 19:00,,oval
10/1/1970 19:00,us,other
10/1/1970 21:00,us,disk
10/1/1970 23:00,,light
10/1/1971 22:00,us,disk
10/1/1972 01:00,us,unknown
10/1/1972 04:00,us,unknown
10/1/1972 20:00,us,disk
10/1/1972 23:00,us,rectangle
10/1/1972 23:00,,chevron
10/1/1973 01:00,us,sphere
10/1/1973 15:00,us,disk
10/1/1973 20:00,us,light
10/1/1973 20:30,,triangle
10/1/1973 21:00,us,cylinder
10/1/1973 21:30,us,disk
10/1/1973 21:30,us,oval
10/1/1973 22:45,us,disk
10/1/1974 01:00,us,unknown
10/1/1974 18:00,us,sphere
10/1/1974 20:00,,changing
10/1/1974 20:00,us,unknown
10/1/1974 21:00,us,light
10/1/1975 21:00,,triangle
10/1/1975 22:00,us,changing
10/1/1976 07:00,us,disk
10/1/1976 19:00,us,disk
10/1/1976 21:00,us,disk
10/1/1977 01:00,,light
10/1/1977 19:00,us,other
10/1/1977 22:00,us,other
10/1/1978 00:00,us,cone
10/1/1978 20:00,us,disk
10/1/1978 23:15,us,cylinder
10/1/1979 16:00,us,disk
10/1/1979 19:00,us,rectangle
10/1/1979 21:00,us,light
10/1/1979 21:00,us,disk
10/1/1979 21:00,us,disk
10/1/1979 23:00,us,light
10/1/1980 01:30,us,other
10/1/1980 20:00,us,fireball
10/1/1980 21:00,us,formation
10/1/1980 22:00,us,cigar
10/1/1981 20:00,us,oval
10/1/1981 20:00,,disk
10/1/1982 22:10,us,fireball
10/1/1983 17:00,gb,sphere
10/1/1983 20:00,us,unknown
10/1/1983 20:30,,oval
10/1/1983 21:00,us,disk
10/1/1984 01:00,us,light
10/1/1984 20:00,us,light
10/1/1984 21:00,us,triangle
10/1/1985 00:00,us,triangle
10/1/1985 05:30,us,light
10/1/1985 05:30,us,sphere
10/1/1985 21:30,us,triangle
10/1/1985 21:30,,other
10/1/1985 22:45,us,sphere
10/1/1986 01:00,us,circle
10/1/1986 22:00,,triangle
10/1/1986 22:00,us,light
10/1/1987 01:00,us,
10/1/1987 19:00,ca,sphere
10/1/1987 20:00,us,oval
10/1/1987 21:00,us,fireball
10/1/1987 23:00,us,triangle
10/1/1989 16:00,us,disk
10/1/1989 18:00,us,oval
10/1/1989 20:00,us,circle
10/1/1989 20:00,us,oval
10/1/1989 21:30,us,rectangle
10/1/1989 21:30,us,disk
10/1/1990 17:00,us,oval
10/1/1990 20:00,us,light
10/1/1990 22:15,us,light
10/1/1991 14:45,us,other
10/1/1991 17:00,us,circle
10/1/1991 18:00,us,cigar
10/1/1991 18:30,us,triangle
10/1/1991 20:30,us,disk
10/1/1991 21:30,us,cigar
10/1/1991 22:00,us,other
10/1/1992 01:30,,sphere
10/1/1992 17:30,us,triangle
10/1/1992 18:00,us,egg
10/1/1992 19:00,us,unknown
10/1/1993 02:00,us,triangle
10/1/1993 20:00,us,light
10/1/1993 20:00,us,light
10/1/1994 11:30,us,triangle
10/1/1994 13:13,us,disk
10/1/1994 17:00,,changing
10/1/1994 20:00,us,changing
10/1/1994 20:00,us,triangle
10/1/1994 21:00,us,cigar
10/1/1994 23:00,us,circle
10/1/1994 23:30,us,disk
10/1/1995 12:00,us,
10/1/1995 14:00,us,
10/1/1995 16:30,us,
10/1/1995 17:00,us,disk
10/1/1995 18:30,us,rectangle
10/1/1995 21:00,gb,light
10/1/1995 22:00,us,other
10/1/1995 22:00,us,triangle
10/1/1995 22:30,us,
10/1/1995 23:00,us,triangle
10/1/1996 01:00,,sphere
10/1/1996 01:00,us,formation
10/1/1996 05:30,us,triangle
